,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
adj_0,0.23226717673668437,0.43659010755589917,0.028164894169673077,0.03007059154956402,0.009510143671421648,0.06933120454404926,0.060581945307820434,0.0863536944544511,0.009931597780730661,0.037198644229706285
adj_1,0.16745659632737556,0.20924924990024138,0.010375169545875109,0.06397004620668413,0.0009433962281005798,0.024818990424265143,0.05834988443396236,0.1666102854758605,0.0009433963420327805,0.29728298511560247
adj_2,0.1656653903202196,0.20832263408689278,0.02057291824812906,0.0669068170224706,0.0009803921585557105,0.028080845884599966,0.03046755884820972,0.18025118536976706,0.0009803922721563817,0.2977718657889991
adj_3,0.1767236483988391,0.22050950275189116,0.010888840970993963,0.03458324318111934,0.0009900990121067348,0.02632440586319263,0.020836860184793776,0.16544938972527362,0.010892555109954174,0.33280145480183554
adj_4,0.4354462177804362,0.2174695827889615,0.01122958958424638,0.022208063912324286,0.01962563676118342,0.019622048585968416,0.19509408611595006,0.0582640935403834,0.0009345816831916462,0.020106099247354743
adj_5,0.37388494269021705,0.19095638556469985,0.20325439122066358,0.08280141340523389,0.0010638304980744424,0.03633242419912438,0.0010638713850533094,0.05502910308635626,0.02233954714382396,0.03327409080675343
adj_6,0.4429994993335837,0.23371028721455828,0.010308438691891877,0.03268075161129641,0.019532432344464355,0.010096472878448904,0.15209422131101002,0.06600181170943763,0.0009174339824007555,0.03165865092290823
adj_7,0.43622355178845934,0.21087160530879667,0.09649084226037605,0.02767835179154227,0.0008928571450578031,0.03744225543943776,0.06933678316636349,0.10136947305583548,0.0008928571446686008,0.018801422899462638
adj_8,0.5020837471614404,0.22928299970463928,0.06297957786503437,0.009821047066057803,0.0008928571447462771,0.019366793851981652,0.04663948024470104,0.11820026433814802,0.0008928590748924216,0.009840373548358677
adj_9,0.1353099336534568,0.20383854739583984,0.010473949461508897,0.04420566433559995,0.0009523809546920056,0.026485587396769174,0.05824955367888065,0.18967910527227214,0.010477105792700763,0.32032817205827974
adj_10,0.16664050844709238,0.18335283750842848,0.0009901198484461077,0.050632245465021146,0.04421938706136393,0.09641197437996182,0.010962743056194177,0.17678005064359364,0.000990121451210124,0.26902001213868815
adj_11,0.1848086990201952,0.46334792458306706,0.0272143175932128,0.01524055399604101,0.018168526246131488,0.06472033124235314,0.06391032568315821,0.12126940654899408,0.0008620872405338642,0.040457827846313174
adj_12,0.20512783166189302,0.47618874640277875,0.019539041027515764,0.03406058502894655,0.019161246761908248,0.046360229509298675,0.07950929717607588,0.08146301283111938,0.010370634140219928,0.028219375460243917
adj_13,0.2103612989982388,0.22394371032764065,0.000934614237484341,0.038447014291446514,0.02075351588342595,0.09998742505563875,0.0009345835171545684,0.11870511987128286,0.0009345794407259101,0.2849981383769616
adj_14,0.19865612112870815,0.45658430436111813,0.04665232146224018,0.04117451201848814,0.020329390144909143,0.03659570572415633,0.08322210472290778,0.08758878524591965,0.0008928719810679202,0.02830388321048467
adj_15,0.2776036440312334,0.18374817665762894,0.057719367206225974,0.09253142320846684,0.000925925928924402,0.08424842546054619,0.0009260833631625734,0.10552525501860241,0.12648589970414326,0.07028579942106607
adj_16,0.17190255516353037,0.20647153743094612,0.010677393361093506,0.0705936805416282,0.0009708737886537314,0.023076876807077203,0.03990842724211122,0.15008439046629768,0.010681265083863243,0.31563300011479867
adj_17,0.3844451319496511,0.23997646338031986,0.030852320533303827,0.0940862412256409,0.0009804065333767476,0.027171428963910064,0.06565339257341539,0.07791983336084014,0.07793438812606462,0.0009803933534774823
adj_18,0.4531428057523644,0.25033519990438935,0.0009708815508069994,0.024407301545666744,0.02080695949250379,0.02038822628576359,0.13802643343971432,0.07017216802975877,0.000970877246654675,0.020779146752377343
adj_19,0.14900891784160775,0.2140924523795042,0.010574700877489572,0.049455201983940475,0.0009615478932575813,0.03388377743638656,0.029877017865599053,0.198042637316653,0.010588415029448798,0.303515331376113
adj_20,0.16490809076560903,0.22913413895157628,0.010183009912966154,0.03652492089430979,0.0009259259275798867,0.06216680377397815,0.04732915129757294,0.14719681779556343,0.010187566610807676,0.29144357407003674
adj_21,0.33949816245209385,0.2085642293617261,0.14845847471550108,0.1009239999057827,0.011593752518028253,0.08031380622139724,0.0010526743864222778,0.06520512910948274,0.022104400950237083,0.02228537037932867
adj_22,0.2032659110688682,0.48483069175300236,0.041779491789657064,0.027675151341442227,0.010984731668944262,0.012877136468014201,0.1127710810277143,0.08464146173769206,0.0009615510209727266,0.020212792123692612
adj_23,0.3418571294402325,0.1915206998190224,0.14391412483608412,0.11636106178048362,0.01123886701370557,0.07715649028225412,0.0010204697036175648,0.07400429849215612,0.030935660480218105,0.011991198152225945
adj_24,0.38049093499780035,0.2078409854390517,0.1496057650116251,0.07954468040670415,0.011592854043958989,0.0589219962582983,0.012846976647228912,0.05474998429976047,0.02210446005565891,0.022301362839913012
adj_25,0.15995142125825945,0.2055097947480636,0.010473981002670218,0.05913359800566671,0.0009523809545987115,0.039468011233856626,0.039645611842314105,0.17402701702883885,0.010477324284149903,0.3003608596415819
adj_26,0.23360649390726523,0.48398763745608914,0.04726394257471456,0.026374219128702903,0.009848072085002149,0.012954465242323007,0.07003916256047286,0.09626549165556574,0.0008928749712464382,0.018767640418618066
adj_27,0.06182903109611371,0.46418808854465166,0.046187897515165895,0.06820767161575,0.03195873038310727,0.03878899794206272,0.001030973457287941,0.18107999385271645,0.0010309279676760808,0.10569768762546836
adj_28,0.04333501807642497,0.4580199170076122,0.04275704154665688,0.0582424905694901,0.042268039100001084,0.08643848405995284,0.0010309713517597182,0.15054600516317762,0.0010309279943610534,0.11633110513056356
adj_29,0.06978478446488869,0.4670781436649332,0.041719246196339654,0.05733091644678596,0.0313130942093872,0.0369280332111403,0.0010101437557402538,0.1925459377657612,0.0010101011306448858,0.10127959915437847
adj_30,0.05869019535151123,0.454444112626689,0.030885365599934735,0.055125120270858315,0.030693029324711144,0.057154688479525685,0.0009901561821011155,0.19968579559531657,0.0009900991241678064,0.11134143744518438
adj_31,0.04243156847865839,0.42601968732787154,0.039918898867033564,0.07451710499771436,0.020792005562958064,0.05878063575041006,0.01192907866124989,0.20521979082032013,0.010892368607903801,0.10949886092588029
adj_32,0.045616471862915633,0.41586542016358324,0.05068103092580488,0.045480917568146775,0.011224294610952253,0.0718815168234409,0.023261281099404826,0.20108053958433564,0.0010204082806171946,0.13388811908079862
adj_33,0.3592248514581344,0.22338431551179705,0.03463933784115541,0.07136505817088644,0.0009345966411752041,0.0235565499258776,0.06913576053818016,0.10483262520692943,0.09322689800112313,0.019700006704741046
adj_34,0.32172759043657123,0.17673265028009066,0.021149309259486628,0.10975484038530985,0.0009900990128101047,0.07029514354642465,0.0009903005904205373,0.14258175813933527,0.11341116756478495,0.042367140784766104
adj_35,0.08554941032016103,0.4858017269969652,0.04260308922880973,0.059237435985225254,0.011340015581586078,0.0255503704765894,0.001030971396506701,0.18217567018614741,0.0010309279676135096,0.10568038186039569
adj_36,0.2298050176507794,0.4702590726072227,0.035495216148903504,0.017699921267456228,0.018988408041331097,0.027916258123479507,0.053150091745597754,0.09921357333261965,0.010483934734482515,0.0369885063481277
adj_37,0.04536677834424037,0.4244640133433326,0.06383509931682825,0.05273116968780705,0.022580558587143498,0.06464322336289732,0.025961439068242463,0.16820175445470753,0.0010752689707285627,0.1311406948640724
adj_38,0.13418917736766842,0.23386840102692166,0.024889928416169875,0.053661081694148204,0.0009434003747410797,0.03763302282282816,0.04822202240318738,0.17726497556514223,0.0009433963365838387,0.28838459399260924
adj_39,0.17345308473962165,0.2069567202175146,0.010182965071197342,0.07277836089497951,0.000925930449994489,0.0422983621116436,0.0194847593020729,0.180694683886116,0.0009259303248825312,0.29229920300197737
adj_40,0.2122386058496691,0.47881473829461624,0.037773894467469614,0.03008581591194101,0.00993746531377974,0.03185431284843792,0.061396882993126914,0.09791477135513678,0.0009009218099845308,0.03908259115583819
adj_41,0.22985958274420915,0.4540013649519066,0.010184052481850036,0.033458849940457704,0.00984977605151581,0.058967285039591644,0.07786920134054898,0.10614818289884079,0.0008928730615797066,0.018768831489499614
adj_42,0.38805087413492345,0.1965268797283372,0.020844881845645733,0.06372687774214124,0.0009804130194001563,0.025333223059286234,0.11848682906869297,0.07857604273587117,0.08679255786757212,0.02068142079812978
adj_43,0.23575226079793002,0.4417749701143826,0.037182634403568914,0.028040439985784982,0.010487381252081545,0.06187204271941904,0.06435466590885347,0.08332495347813565,0.0008849876668455222,0.03632566367299832
adj_44,0.39677419699827526,0.21199499286683773,0.009957494155357436,0.03246333920114441,0.02828517251240847,0.03701368208516782,0.1387367965405059,0.07436738204072814,0.009972599094036659,0.06043434450553821
adj_45,0.046514765426920596,0.4472189968084141,0.05251424422435159,0.07261147453050036,0.03297870106459948,0.07240282712240301,0.0010638672603365074,0.1665222736620223,0.001063829939888038,0.10710901996056414
adj_46,0.45386902427713405,0.21730358505450798,0.0009090931992430367,0.03677152321652131,0.022834436208960168,0.011502957076317342,0.14910468526635984,0.0751645297238276,0.0009090937039139421,0.03163107227321483
adj_47,0.038829890351454226,0.46764941750052247,0.043887769228183014,0.06943436165386854,0.011110913945560618,0.024690058578132147,0.023248321320840176,0.17818379618286026,0.011113632865993825,0.13185183837258463
adj_48,0.189347198161478,0.4895871598890211,0.028970701388479417,0.03827980863515941,0.01002762985277875,0.07766113016713791,0.06493974596168753,0.07206649588746461,0.0009091109606686557,0.028211019096124675
adj_49,0.2097515904188932,0.49069839512343627,0.028094800891926428,0.025720109663285064,0.021162495074480266,0.02742519346619074,0.08691796389821044,0.08027783948338468,0.0008849702404660861,0.029066641739726812
adj_50,0.19972197794206656,0.22499698671702337,0.0009901165244447145,0.040716994761893804,0.040891311296915894,0.07548502743885467,0.0009901074260465583,0.1459460781644091,0.0009900990113420253,0.2692713007170032
adj_51,0.19103563261959136,0.19490545383108285,0.01105749993364456,0.039918476755241614,0.020387194718454266,0.08832952487585966,0.0009708780799931695,0.15928052739970108,0.01067925118550991,0.28343556060092145
adj_52,0.05063985022097195,0.4591736799072466,0.03301675577702859,0.07849110601482227,0.011224285352174792,0.037839947232470694,0.012582616113931116,0.22196021530843738,0.0010204082725355284,0.09405113580038119
adj_53,0.19174168326205857,0.2006771727035487,0.000952402737924854,0.02010135562993778,0.02460923533370785,0.08263836347284909,0.010785132296438993,0.16105084046583965,0.000952415144087926,0.3064913989536065
adj_54,0.042651266179374016,0.44037408632449637,0.07019700113356157,0.08240275122552437,0.022402418013838344,0.024725063874418085,0.012421662616163577,0.19075206672312234,0.001020408519207766,0.11305327539029343
adj_55,0.14185857199005722,0.22664888183970605,0.010677398801499363,0.061052445765898126,0.0009708783237015217,0.012147690329526123,0.04963329868670918,0.17042430311884274,0.010694505904288306,0.3158920252397714
adj_56,0.3953892237014211,0.19614130466459598,0.019152399241497205,0.07596393052052619,0.0009009149027547214,0.0355013148759472,0.07000958251588132,0.0990946322596526,0.10694579456100425,0.0009009027567194136
adj_57,0.42795670668446895,0.22406048305474538,0.0009345816523563705,0.023146719242098317,0.03000339593713544,0.019730824725406694,0.15182724541656475,0.08556264832024026,0.0009345879622090677,0.035842807004774914
adj_58,0.12899514050496924,0.2322403176137394,0.010473965318832141,0.04415753034486597,0.0009523809543298178,0.026664575420082038,0.04868297733509524,0.1965959625536602,0.0009523810522351491,0.31028476890219076
adj_59,0.4515207229775089,0.2062236664611324,0.020596254053090852,0.08953381878931355,0.016176414908704223,0.025928166260925374,0.04001496364073744,0.07421612909668543,0.07485528289511606,0.0009345809167857236
adj_60,0.17520344926739864,0.22900471520790508,0.01980962892012665,0.05837993543793357,0.0009433962282599315,0.03275714248309182,0.029308266588198493,0.16641005299281558,0.010381114454837173,0.2778022984194332
adj_61,0.17439676932527856,0.2378697348791604,0.01027824684682541,0.05240947195975068,0.00093458343837159,0.036271801450002916,0.03908992097631287,0.16332166981634866,0.010294726703585368,0.2751330746043636
adj_62,0.4800798642914042,0.19859214424972166,0.08540862770701459,0.019265691809059585,0.0009176778764733343,0.019741423906214993,0.057073412761120594,0.1278895045166739,0.0009174322611150678,0.010114220621202093
adj_63,0.46727104291885596,0.21700917949187645,0.028899450868994345,0.01210222406678257,0.01988647988812987,0.019463149064269464,0.14654027041532627,0.07654954925716856,0.0009259288794769996,0.011352725149119603
adj_64,0.4053729786571252,0.18284135939034443,0.14541305624272882,0.10041293737031003,0.032014972985539736,0.056716666755466875,0.0010309697945864425,0.043141989521137354,0.021648604004378815,0.011406465278382277
adj_65,0.3166565480651715,0.17057288058139536,0.02901371150207464,0.09243168835485557,0.0009174311953399018,0.11100820790503961,0.000917576365776005,0.10524012279067642,0.13443714016709668,0.03880469307257426
adj_66,0.03131618422402077,0.47508044324852367,0.030895249291166712,0.08599174001482997,0.010890897020029636,0.047643941440442344,0.000990158008739971,0.19502434779362904,0.02079724047449352,0.10136979848412457
adj_67,0.4359232351836477,0.18886626213822066,0.019867146428312277,0.06134159641539307,0.0009345975376416635,0.036036765444710885,0.050285536539028126,0.0836679488418397,0.09396278902076646,0.029114122450439397
adj_68,0.5161175747239098,0.2220536678344879,0.07195724888859337,0.00990952834417233,0.0009009009026534312,0.029681858844661832,0.04695348532443271,0.10062393146919675,0.0009009018581288695,0.0009009018097628305
adj_69,0.08061768408919369,0.44595021268450885,0.04112717752447988,0.04468247059888262,0.03163260779863675,0.07095415296746974,0.012244854502681075,0.15956864457913386,0.001020408310958848,0.11220178694405479
adj_70,0.33030635067096226,0.17670176495950152,0.012157902194574884,0.0010310693618725787,0.011861468787419747,0.001030959215958079,0.3791472519329562,0.05292843938059879,0.023051308356275908,0.011783485139879946
adj_71,0.20164104201669403,0.16740976839559862,0.010677399401446195,0.05889029437590458,0.0009708737886501657,0.01305699867041445,0.04025819315077762,0.19160689472765463,0.010691806583249122,0.3047967288896107
adj_72,0.205907910703411,0.441192249666379,0.02989926673265328,0.035141457601288485,0.01952299676557261,0.0733172685342071,0.06681797114020695,0.08925380877824962,0.0009259461293264007,0.03802112394870554
adj_73,0.16579183158114538,0.2049143234243527,0.011108916962702909,0.04541258815531171,0.00101010645977811,0.014161372153575108,0.061788962577439044,0.18731241389212142,0.0010101011280869562,0.3074893836654866
adj_74,0.18183380439149074,0.4493588861179002,0.01878316473954826,0.023820435985305567,0.009677082711435652,0.11292558070631299,0.06091028678394326,0.10534891067502464,0.010111756592082112,0.027230091296956683
adj_75,0.442324985888483,0.2274863315681666,0.0008771948798080225,0.03123966964619929,0.01842043334538979,0.019199274386670573,0.15614490241992646,0.06332305420967865,0.0008771962837109136,0.040106957371966595
adj_76,0.05849753060840798,0.5056462953439307,0.030142829453036302,0.06560192351100201,0.021212025682188634,0.04379557539271481,0.012530563002670069,0.16817530129246758,0.001010101150406504,0.09338785456317558
adj_77,0.062313620962688956,0.4320630794299182,0.05240969959855841,0.06092056134186755,0.02210518811050518,0.026318830099032818,0.0239899104938883,0.1895712286166097,0.001052648116300948,0.12925523323063
adj_78,0.3974758134650284,0.1872944190045843,0.04006380394217775,0.09461196172304047,0.0009615532464144885,0.012651337913342116,0.043165355928797264,0.09737069678926885,0.12544351254838937,0.000961545438957017
adj_79,0.40858345461268564,0.20935985567630375,0.02004226103206673,0.08094937018795664,0.0009259408827710004,0.023951458482681633,0.05168804280877395,0.08348477870257547,0.09162597171571178,0.029388865898473455
adj_80,0.42479486842738545,0.20474332033688308,0.020850648683596196,0.07225126692337701,0.0009804708502295905,0.03954053055262861,0.0668602055492373,0.08749825240433147,0.07166615636249377,0.010814279909837556
adj_81,0.057469590695085095,0.42831765080824136,0.039255245260988225,0.07224656858684236,0.024371959183387325,0.061462430100883196,0.012881792274801154,0.20686990002331349,0.0010416677709560941,0.09608319529550179
adj_82,0.18249385435266832,0.19604950123540182,0.0010309461949416833,0.02170276963832335,0.02164826116902226,0.10032090371557864,0.01153300044236069,0.17351393883196756,0.0010309295225977748,0.2906758948971379
adj_83,0.40250481763159024,0.23127524103104732,0.0009009057478650712,0.02199383601936935,0.019284329887758155,0.027984811820725212,0.16816552177926455,0.09232064683633796,0.000901011302315463,0.034668877943726806
adj_84,0.1842807130367962,0.46697758793909283,0.036887390306522196,0.015044068926798876,0.009508720294310281,0.09226849329429118,0.05556255820989354,0.0940995824154289,0.009978599559714163,0.03539228601715187
adj_85,0.16115105945862782,0.1825608223036954,0.019996211587575374,0.07569469878357679,0.0009523863987224956,0.03593810589652348,0.046459995667943295,0.17649589638189447,0.0009523810642230543,0.2997984424572178
adj_86,0.37565860844355803,0.19083512680410344,0.16265531333058048,0.08760329494960654,0.031368662697658166,0.0560215437226993,0.0010101438672075805,0.06245625379868198,0.021211257290517403,0.011179795095387107
adj_87,0.4446720705123037,0.2307002362747012,0.0009259659416870421,0.023413907303092927,0.01961207689058789,0.02875951710506132,0.12486336763176466,0.10441356590140781,0.0009259294119811531,0.02171336302741244
